name,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,birth_date,nationality,passport_number,passport_issue_date,passport_expiry_date,gender,phone_number,email_address,marital_status,secondary_school,higher_education,employment_history,aum,inheritance_details,real_estate_details,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,currency,address,client_id
Josefine Mayr,Bregenz,Naschmarkt,96,7235,Austria,1962-12-28,Austrian,IZ1859014,2024-12-01,2034-11-30,F,+43 543 715 8997,josefine.mayr@gmail.com,divorced,"{'name': 'BORG Graz Liebenau', 'graduation_year': 1972}","[{'university': 'Danube Private University Krems', 'graduation_year': 1987}]","[{'start_year': 1987, 'end_year': 1991, 'company': 'Voestalpine AG', 'position': 'Junior Trader', 'salary': 29000}, {'start_year': 1993, 'end_year': 1995, 'company': 'Voestalpine AG', 'position': 'Senior Trader', 'salary': 53000}, {'start_year': 1997, 'end_year': 2023, 'company': 'Gunvor Group', 'position': 'Trading Desk Manager', 'salary': 543000}]","{'savings': 1000000, 'inheritance': 0, 'real_estate_value': 3960000}",{},"[{'property type': 'condo', 'property value': 1080000, 'property location': 'Bregenz'}, {'property type': 'villa', 'property value': 1900000, 'property location': 'Tulln an der Donau'}, {'property type': 'house', 'property value': 980000, 'property location': 'Stockerau'}]",Low,Medium,Experienced,Advisory,['Austria'],EUR,"{'city': 'Bregenz', 'street name': 'Naschmarkt', 'street number': 96, 'postal code': '7235'}",6287
Alexandra Daphné Jacobs,La Louvière,Rue Royale,31,4576,Belgium,1996-06-13,Belgian,,2018-11-13,2025-11-12,F,+32 0430 747 823,alexandra.jacobs@yahoo.com,single,"{'name': 'College Patroklia', 'graduation_year': 2015}","[{'university': 'KU Leuven', 'graduation_year': 2019}]","[{'start_year': 2021, 'end_year': None, 'company': 'Wallenius Wilhelmsen Logistics Belgium NV', 'position': 'Ship Broker', 'salary': 38000}]","{'savings': 20000, 'inheritance': 2160000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2019, 'profession': 'Neurosurgeon'}",[],High,Medium,Inexperienced,Advisory,['Belgium'],EUR,"{'city': 'La Louvière', 'street name': 'Rue Royale', 'street number': 31, 'postal code': '4576'}",2627
Miriam Ilse Weber,Gmunden,Schönlaterngasse,15,2801,Austria,1997-03-10,Austrian,SW4269094,2019-05-29,2029-05-28,F,+43 220 540 5178,miriam.weber@gmail.com,single,"{'name': 'Franziskanergymnasium Hall in Tirol', 'graduation_year': 2014}","[{'university': 'University of Klagenfurt', 'graduation_year': 2020}]","[{'start_year': 2021, 'end_year': 2025, 'company': 'Austrian Energy Agency', 'position': 'Drilling Engineer', 'salary': 31000}]","{'savings': 20000, 'inheritance': 2360000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2018, 'profession': 'Investment Banker'}",[],Moderate,Long-Term,Inexperienced,Discretionary,"['Spain', 'Austria']",EUR,"{'city': 'Gmunden', 'street name': 'Schönlaterngasse', 'street number': 15, 'postal code': '2801'}",7167
Evelien Floor Maassen,Zaandam,Overtoom,91,5034 90,Netherlands,2001-11-12,Dutch,RX0114730,2018-08-26,2028-08-25,F,+31 06 48336865,evelien.maassen@outlook.com,divorced,"{'name': 'Maurick College Vught', 'graduation_year': 2021}",[],[],"{'savings': 0, 'inheritance': 2640000, 'real_estate_value': 0}","{'relationship': 'grandfather', 'inheritance year': 2015, 'profession': 'Corporate Lawyer'}",[],Moderate,Medium,Inexperienced,Discretionary,['Netherlands'],EUR,"{'city': 'Zaandam', 'street name': 'Overtoom', 'street number': 91, 'postal code': '5034 90'}",8913
Alejandra Dácil Ramos,Castellón de la Plana,Calle de la Estrella,34,69535,Spain,1969-07-20,Spanish,,2021-05-28,2031-05-27,F,696 222 174,alejandra.ramos@yahoo.com,divorced,"{'name': 'Instituto de Educación Secundaria IES Pablo Neruda Las Palmas de Gran Canaria', 'graduation_year': 1989}","[{'university': 'IE University', 'graduation_year': 1992}, {'university': 'IESE Business School', 'graduation_year': 1998}]","[{'start_year': 1994, 'end_year': 1999, 'company': 'CaixaBank S.A.', 'position': 'Investment Banker', 'salary': 27000}, {'start_year': 1999, 'end_year': 2002, 'company': 'CaixaBank S.A.', 'position': 'Private Equity Investor', 'salary': 39000}, {'start_year': 2002, 'end_year': 2007, 'company': 'Banco Santander S.A.', 'position': 'Hedge Fund Manager', 'salary': 98000}, {'start_year': 2007, 'end_year': 2009, 'company': 'Bankia S.A.', 'position': 'Venture Capitalist', 'salary': 95000}, {'start_year': 2010, 'end_year': None, 'company': 'Bankia S.A.', 'position': 'Billionaire Investor', 'salary': 425000}]","{'savings': 660000, 'inheritance': 500000, 'real_estate_value': 2632000}","{'relationship': 'grandfather', 'inheritance year': 2007, 'profession': 'Investment Banker'}","[{'property type': 'flat', 'property value': 652000, 'property location': 'Castellón de la Plana'}, {'property type': 'villa', 'property value': 1980000, 'property location': 'Palma de Mallorca'}]",Low,Medium,Experienced,Discretionary,['Spain'],EUR,"{'city': 'Castellón de la Plana', 'street name': 'Calle de la Estrella', 'street number': 34, 'postal code': '69535'}",971
Ilaria Chiara Galli,Venice,Corso Garibaldi,54,97554,Italy,1993-01-06,Italian,OC9081898,2024-01-16,2034-01-15,F,+39 358 8191738,ilaria.galli@tiscali.it,single,"{'name': 'Liceo Artistico Michelangelo Buonarroti Venezia', 'graduation_year': 2012}","[{'university': 'Bocconi University', 'graduation_year': 2017}]","[{'start_year': 2017, 'end_year': None, 'company': 'Luxottica Group S.p.A.', 'position': 'Plant Manager', 'salary': 37000}]","{'savings': 30000, 'inheritance': 1670000, 'real_estate_value': 980000}","{'relationship': 'grandfather', 'inheritance year': 2019, 'profession': 'Private Equity Manager'}","[{'property type': 'condo', 'property value': 980000, 'property location': 'Venice'}]",Moderate,Long-Term,Experienced,Discretionary,"['Spain', 'Italy']",EUR,"{'city': 'Venice', 'street name': 'Corso Garibaldi', 'street number': 54, 'postal code': '97554'}",2415
Romano Malatesta Santoro,Pisa,Via Condotti,33,94393,Italy,1960-12-24,Italian,XH4762449,2016-09-28,2026-09-27,M,+39 319 9586841,romano.santoro@unidata.it,married,"{'name': 'Istituto Tecnico Industriale Alessandro Volta Torino', 'graduation_year': 1967}","[{'university': 'Luiss Guido Carli', 'graduation_year': 1983}]","[{'start_year': 1984, 'end_year': 1987, 'company': 'Sky Italia S.r.l.', 'position': 'Journalist', 'salary': 28000}, {'start_year': 1987, 'end_year': 1990, 'company': 'La Repubblica S.p.A.', 'position': 'Editor', 'salary': 42000}, {'start_year': 1990, 'end_year': 1994, 'company': 'La Repubblica S.p.A.', 'position': 'Publisher', 'salary': 58000}, {'start_year': 1996, 'end_year': 1997, 'company': 'La Repubblica S.p.A.', 'position': 'TV/Radio Host', 'salary': 128000}, {'start_year': 1997, 'end_year': 2021, 'company': 'Sky Italia S.r.l.', 'position': 'Media Conglomerate Owner', 'salary': 868000}]","{'savings': 1440000, 'inheritance': 0, 'real_estate_value': 3231000}",{},"[{'property type': 'condo', 'property value': 1041000, 'property location': 'Pisa'}, {'property type': 'condo', 'property value': 960000, 'property location': 'Siena'}, {'property type': 'house', 'property value': 1230000, 'property location': 'Bari'}]",Moderate,Short,Experienced,Discretionary,['Italy'],EUR,"{'city': 'Pisa', 'street name': 'Via Condotti', 'street number': 33, 'postal code': '94393'}",6889
Bakker Vogel De Jong,Emmen,Willemsparkweg,57,6805 30,Netherlands,1994-08-08,Dutch,TF0205308,2016-06-20,2026-06-19,M,06 92562276,bakker.dejong@outlook.com,single,"{'name': 'St. Willibrorduscollege Deurne', 'graduation_year': 2014}","[{'university': 'Delft University of Technology', 'graduation_year': 2019}]","[{'start_year': 2018, 'end_year': 2019, 'company': 'ASML Holding N.V.', 'position': 'Software Developer', 'salary': 47000}, {'start_year': 2020, 'end_year': None, 'company': 'GitPulse B.V.', 'position': 'Startup Founder', 'salary': 82000}]","{'savings': 70000, 'inheritance': 3240000, 'real_estate_value': 1530000}","{'relationship': 'grandfather', 'inheritance year': 2017, 'profession': 'Hedge Fund Manager'}","[{'property type': 'house', 'property value': 1530000, 'property location': 'Emmen'}]",High,Long-Term,Experienced,Advisory,['Netherlands'],EUR,"{'city': 'Emmen', 'street name': 'Willemsparkweg', 'street number': 57, 'postal code': '6805 30'}",1290
Schneider Huber Mayr,Traun,Mariahilfer Straße,94,7499,Austria,1995-08-26,Austrian,QT6156780,2016-06-05,2026-06-04,M,+43 625 638 3428,schneider.mayr@upc.at,married,"{'name': 'Franziskanergymnasium Hall in Tirol', 'graduation_year': 2013}","[{'university': 'University of Salzburg', 'graduation_year': 2019}, {'university': 'Modul University Vienna', 'graduation_year': 2022}]","[{'start_year': 2020, 'end_year': None, 'company': 'Falkensteiner Schlosshotels', 'position': 'Hotel Manager', 'salary': 39000}]","{'savings': 30000, 'inheritance': 2250000, 'real_estate_value': 0}","{'relationship': 'grandfather', 'inheritance year': 2016, 'profession': 'Oil and Gas Executive'}",[],High,Medium,Inexperienced,Discretionary,"['Spain', 'Austria']",EUR,"{'city': 'Traun', 'street name': 'Mariahilfer Straße', 'street number': 94, 'postal code': '7499'}",5630
Daniela Anna Zbinden,Basel,Limmatquai,50,4191,Switzerland,1970-08-22,Swiss,LV9726083,2022-07-08,2032-07-07,F,+41 011 064 24 20,daniela.zbinden@outlook.com,widowed,"{'name': 'Gymnasium Stadelhofen Luzern', 'graduation_year': 1988}","[{'university': 'University of Bern', 'graduation_year': 1994}]","[{'start_year': 1995, 'end_year': 1997, 'company': 'Novartis AG', 'position': 'Research Scientist', 'salary': 57000}, {'start_year': 1997, 'end_year': 2001, 'company': 'Novartis AG', 'position': 'Biotech Startup Founder', 'salary': 87000}, {'start_year': 2002, 'end_year': 2007, 'company': 'Roche Holding AG', 'position': 'CEO', 'salary': 219000}, {'start_year': 2007, 'end_year': 2008, 'company': 'Novartis AG', 'position': 'Venture Capitalist', 'salary': 249000}, {'start_year': 2010, 'end_year': None, 'company': 'Johnson & Johnson Switzerland', 'position': 'Industry Leader', 'salary': 843000}]","{'savings': 1400000, 'inheritance': 1320000, 'real_estate_value': 9180000}","{'relationship': 'mother', 'inheritance year': 2005, 'profession': 'Stock Trader'}","[{'property type': 'townhouse', 'property value': 3130000, 'property location': 'Basel'}, {'property type': 'house', 'property value': 2920000, 'property location': 'Kreuzlingen'}, {'property type': 'townhouse', 'property value': 3130000, 'property location': 'Geneva'}]",Low,Medium,Expert,Advisory,"['Switzerland', 'Italy']",CHF,"{'city': 'Basel', 'street name': 'Limmatquai', 'street number': 50, 'postal code': '4191'}",1056
Victoria Maja Schmidt,Hanover,Prager Straße,4,18766,Germany,1992-02-16,Austrian,PL7529709,2023-07-05,2033-07-04,F,+49 0877 181521,victoria.schmidt@t-online.de,married,"{'name': 'Musisches Gymnasium Wien', 'graduation_year': 1998}","[{'university': 'Konservatorium Wien University', 'graduation_year': 2016}]","[{'start_year': 1996, 'end_year': 2025, 'company': 'DWS Investments', 'position': 'Stockbroker', 'salary': 46000}]","{'savings': 60000, 'inheritance': 0, 'real_estate_value': 4900000}",{},"[{'property type': 'house', 'property value': 1500000, 'property location': 'Hanover'}, {'property type': 'villa', 'property value': 1600000, 'property location': 'Hallein'}, {'property type': 'villa', 'property value': 1800000, 'property location': 'Eisenstadt'}]",Moderate,Long-Term,Experienced,Discretionary,"['Germany', 'Austria']",EUR,"{'city': 'Hanover', 'street name': 'Prager Straße', 'street number': 4, 'postal code': '18766'}",4524
