name,first_name,middle_name,last_name,passport_number,currency,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,phone_number,email_address,address,client_id
Romano Malatesta Santoro,Romano,Malatesta,Santoro,XH4762449,EUR,Pisa,Via Condotti,33,94393,"Italy,Austria",++41 319 9586841,romano.santoro@unidata.it,"{'city': 'Pisa', 'street name': 'Via Condotti', 'street number': 33, 'postal code': '94393'}",6889
Bakker Vogel De Jong,Bakker,Vogel,De Jong,TF0205308,EUR,Emmen,Willemsparkweg,57,6805 30,Netherlands,++4506 92562276,bakker.dejong@outlook.com,"{'city': 'Emmen', 'street name': 'Willemsparkweg', 'street number': 57, 'postal code': '6805 30'}",1290
Schneider Huber Mayr,Schneider,Huber,Mayr,QT6156780,EUR,Traun,Mariahilfer Straße,94,7499,Austria,+43 625 638 3428,schneider.mayr@upc.at,"{'city': 'Traun', 'street name': 'Mariahilfer Straße', 'street number': 94, 'postal code': '7499'}",5630
Daniela Anna Zbinden,Daniela,Anna,Zbinden,LV9726083,CHF,Basel,Limmatquai,50,4191,Switzerland,+41 011 064 24 20,daniela.zbindenoutlook.com,"{'city': 'Basel', 'street name': 'Limmatquai', 'street number': 50, 'postal code': '4191'}",1056
Victoria Maja Schmidt,Victoria,Maja,Schmidt,PL7529709,EUR,Hanover,Prager Straße,4,18766,Germany,+49 0877 181521,victoria.schmidt@t-online.de,"{'city': 'Hanover', 'street name': 'Prager Straße', 'street number': 4, 'postal code': '18766'}",4524
Kaufmann Riedo Ackermann,Kaufmann,Riedo,Ackermann,XF1818573,CHF,Lugano,Rue de l'Hôtel-de-Ville,52,2370,Switzerland,+41 029 838 53 90,kaufmann.ackermann@outlook.com,"{'city': 'Lugano', 'street name': ""Rue de l'Hôtel-de-Ville"", 'street number': 52, 'postal code': '2370'}",6273
Zbinden Baumgartner Wyss,Zbinden,Baumgartner,Wyss,HH8718029,CHF,Herisau,Stadthausplatz,21,0734,Switzerland,+41 077 179 43 95,zbinden.wyss@swisscom.ch,"{'city': 'Herisau', 'street name': 'Stadthausplatz', 'street number': 21, 'postal code': '0734'}",3701
Janssens Vandenberghe Jacobs,Janssens,Vandenberghe, Jacobs,VD8668197,EUR,Ieper,Rue de la Révolution Belge,26,4519,Belgium,+32 0482 034 448,janssens.jacobs@icloud.com,"{'city': 'Ieper', 'street name': 'Rue de la Révolution Belge', 'street number': 26, 'postal code': '4519'}",7193
Essi Josefiina Voutilainen,Essi,Josefiina,Voutilainen,UQ3824896,EUR,Sipoo,Mikonkatu,91,06317,Finland,047 667 15 18,essi.voutilainen@surffi.net,"{'city': 'Sipoo', 'street name': 'Mikonkatu', 'street number': 91, 'postal code': '06317'}",9835
Schulz Krüger Schmitz,Schulz,Krüger,Schmitz,KJ0584269,EUR,Dresden,Speicherstadt,77,95873,Germany,1891 184500,schulz.schmitz@freenet.de,"{'city': 'Dresden', 'street name': 'Speicherstadt', 'street number': 77, 'postal code': '95873'}",6041
Amélie Adèle Jacobs,Amélie,Adèle, Jacobs,HN0114243,EUR,La Louvière,Rue des Sœurs Noires,52,2750,Belgium,,amelie.jacobs@yahoo.com,"{'city': 'La Louvière', 'street name': 'Rue des Sœurs Noires', 'street number': 52, 'postal code': '2750'}",3533
Rieder Hinterleitner Müller,Rieder,Hinterleitner,Müller,VG2724274,EUR,Kitzbühel,Gasometerstraße,52,5158,Austria,++45 270 893 6958,rieder.muller@telekom.at,"{'city': 'Kitzbühel', 'street name': 'Gasometerstraße', 'street number': 52, 'postal code': '5158'}",985
Amélie Daphné Peeters,Amélie,Daphné,Peeters,LT5540424,EUR,Poperinge,Avenue Franklin Roosevelt,28,5358,Belgium,0420 978 900,amelie.peeters@gmail.com,"{'city': 'Poperinge', 'street name': 'Avenue Franklin Roosevelt', 'street number': 28, 'postal code': '5358'}",9009
Joyce Julia Verhoeven,Joyce,Julia,Verhoeven,FS7921847,EUR,Oss,Van Baerlestraat,83,6425 53,Netherlands,06 15653730,joyce.verhoeven@live.nl,"{'city': 'Oss', 'street name': 'Van Baerlestraat', 'street number': 83, 'postal code': '6425 53'}",1264
Melanie Sabrina Steiner,Melanie,Sabrina,Steiner,CD9653010,EUR,Schwechat,Währinger Straße,34,3376,Austria,+43 619 264 2579,melanie.steiner@web.at,"{'city': 'Schwechat', 'street name': 'Währinger Straße', 'street number': 34, 'postal code': '3376'}",4716
Wyss Kägi Keller,Wyss,Kägi,Keller,BQ9807075,CHF,Kreuzlingen,Rue des Délices,39,5259,Switzerland,+41 092 824 65 68,wyss.keller@teli.ch,"{'city': 'Kreuzlingen', 'street name': 'Rue des Délices', 'street number': 39, 'postal code': '5259'}",6425
Raes Sanders Moens,Raes,Sanders,Moens,SU8854493,EUR,Genk,Grand Place,67,7366,Belgium,+32 0496 526 573,raes.moens@proximus.be,"{'city': 'Genk', 'street name': 'Grand Place', 'street number': 67, 'postal code': '7366'}",2085
Lotti Conti Silvestri,Lotti,Conti,Silvestri,UU3441507,EUR,Parma,Via Condotti,77,87140,Italy,+39 382 2970148,lotti.silvestri@infinito.it,"{'city': 'Parma', 'street name': 'Via Condotti', 'street number': 77, 'postal code': '87140'}",3157
Helmi Heta Laaksonen,Helmi,Heta,Laaksonen,DN3351377,EUR,Mikkeli,Fredrikinkatu,76,48554,Finland,+358 046 112 57 42,helmi.laaksonen@finet.fi,"{'city': 'Mikkeli', 'street name': 'Fredrikinkatu', 'street number': 76, 'postal code': '48554'}",1600
Lotta Mari Tolvanen,Lotta,Mari,Tolvanen,AM7480346,EUR,Pori,Keskuskatu,5,76257,Finland,+358 048 586 33 75,lotta.tolvanen@telia.fi,"{'city': 'Pori', 'street name': 'Keskuskatu', 'street number': 5, 'postal code': '76257'}",4372
Stam Verhoeven Van den Berg,Stam,Verhoeven,Van den Berg,SK3496648,EUR,Utrecht,Spoorweghaven,66,4783 83,Netherlands,+31 06 28425110,stam.vandenberg@chello.nl,"{'city': 'Utrecht', 'street name': 'Spoorweghaven', 'street number': 66, 'postal code': '4783 83'}",1432
Araceli Anaís Ruiz,Araceli,Anaís,Ruiz,GX8921875,EUR,Santa Cruz de Tenerife,Plaza de la Encarnación,100,53171,Spain,601 361 500,araceli.ruiz@ya.com,"{'city': 'Santa Cruz de Tenerife', 'street name': 'Plaza de la Encarnación', 'street number': 100, 'postal code': '53171'}",4140
Fiona Petra Fuchs,Fiona,Petra,Fuchs,SX9347560,EUR,Villach,Schönlaterngasse,44,1382,Austria,+43 717 192 2168,fiona.fuchs@hotmail.com,"{'city': 'Villach', 'street name': 'Schönlaterngasse', 'street number': 44, 'postal code': '1382'}",5092
Ingrid Louise Lambrechts,Ingrid,Louise,Lambrechts,QR7146556,EUR,Ghent,Rue des Bouchers,60,7729,Belgium,0441 539 304,ingrid.lambrechts@base.be,"{'city': 'Ghent', 'street name': 'Rue des Bouchers', 'street number': 60, 'postal code': '7729'}",6617
Niskanen Koskinen Heikkinen,Niskanen,Koskinen,Heikkinen,JL7937159,EUR,Pori,Unioninkatu,36,06257,Finland,042 170 76 25,niskanen.heikkinen@suomi24.fi,"{'city': 'Pori', 'street name': 'Unioninkatu', 'street number': 36, 'postal code': '06257'}",3365
Thiry Smets Michiels,Thiry,Smets,Michiels,KU9504631,EUR,Mechelen,Rue de l'Église,4,5355,Belgium,+32 0489 592 095,thiry.michiels@tvcablenet.be,"{'city': 'Mechelen', 'street name': ""Rue de l'Église"", 'street number': 4, 'postal code': '5355'}",7158
Wouters Peiren Roelandts,Wouters,Peiren,Roelandts,GD4954300,EUR,Lokeren,Avenue Louise,40,8177,Belgium,+32 0448 326 140,wouters.roelandts@skynet.be,"{'city': 'Lokeren', 'street name': 'Avenue Louise', 'street number': 40, 'postal code': '8177'}",172
Belli Fabbri Romano,Belli,Fabbri,Romano,MG3023763,EUR,Turin,Via Dante Alighieri,89,66077,Italy,+39 351 4706148,belli.romano@fastweb.it,"{'city': 'Turin', 'street name': 'Via Dante Alighieri', 'street number': 89, 'postal code': '66077'}",7964
Florence Ingrid Van den Berghe,Florence,Ingrid,Van den Berghe,WA2426591,EUR,Saint-Étienne,Pont des Arts,62,91516,France,+33 03 20 48 32 67,florence.vandenberghe@gmail.com,"{'city': 'Saint-Étienne', 'street name': 'Pont des Arts', 'street number': 62, 'postal code': '91516'}",8110
Ruotsalainen Uusitalo Seppälä,Ruotsalainen,Uusitalo,Seppälä,AR3869440,EUR,Seinäjoki,Radiokatu,29,87786,Finland,+358 044 230 30 03,ruotsalainen.seppala@elisa.fi,"{'city': 'Seinäjoki', 'street name': 'Radiokatu', 'street number': 29, 'postal code': '87786'}",340
Koch Meier Bauer,Koch,Meier,Bauer,CD6418680,EUR,Catania,Piazza del Duomo,47,67056,Italy,+39 306 7889717,koch.bauer@tiscali.it,"{'city': 'Catania', 'street name': 'Piazza del Duomo', 'street number': 47, 'postal code': '67056'}",8322
Bauer Schmitt,Bauer,,Schmitt,CN5802342,EUR,Frankfurt am Main,Breitscheidplatz,48,92146,Germany,0711 274182,bauer.schmitt@vodafone.de,"{'city': 'Frankfurt am Main', 'street name': 'Breitscheidplatz', 'street number': 48, 'postal code': '92146'}",2618
Guillaume Lemaître,Guillaume,,Lemaître,PT6674565,EUR,Brest,Boulevard de la Villette,34,21306,France,+33 07 98 58 49 76,guillaume.lemaitre@hotmail.com,"{'city': 'Brest', 'street name': 'Boulevard de la Villette', 'street number': 34, 'postal code': '21306'}",724
Benita Ida Mayer,Benita,Ida,Mayer,SG8112394,EUR,Gelsenkirchen,Neuer Markt,72,04870,Germany,3861 452674,benita.mayer@web.de,"{'city': 'Gelsenkirchen', 'street name': 'Neuer Markt', 'street number': 72, 'postal code': '04870'}",9694
Steiner Weber Brandstetter,Steiner,Weber,Brandstetter,II0993549,EUR,Amstetten,Spiegelgasse,17,4154,Austria,759 469 0858,steiner.brandstetter@hotmail.com,"{'city': 'Amstetten', 'street name': 'Spiegelgasse', 'street number': 17, 'postal code': '4154'}",8746
Keller Wyss Furrer,Keller,Wyss,Furrer,YB1816229,CHF,Locarno,Stadthausplatz,65,7551,Switzerland,+41 017 857 90 29,keller.furrer@lycos.ch,"{'city': 'Locarno', 'street name': 'Stadthausplatz', 'street number': 65, 'postal code': '7551'}",5865
Weber Neumann Wolf,Weber,Neumann,Wolf,FV7097577,EUR,Stuttgart,Marktplatz,1,78888,Germany,+49 6357 442387,weber.wolf@1und1.de,"{'city': 'Stuttgart', 'street name': 'Marktplatz', 'street number': 1, 'postal code': '78888'}",5059
De Smet Peiren,De Smet,,Peiren,,EUR,Tournai,Rue des Dominicains,77,1996,Belgium,+32 0401 419 634,desmet.peiren@belgacom.be,"{'city': 'Tournai', 'street name': 'Rue des Dominicains', 'street number': 77, 'postal code': '1996'}",2872
Daniela Carmen Gil,Daniela,Carmen,Gil,NA9402134,EUR,Toledo,Plaza de la Encarnación,30,90824,Spain,+34 601 395 204,daniela.gil@yahoo.es,"{'city': 'Toledo', 'street name': 'Plaza de la Encarnación', 'street number': 30, 'postal code': '90824'}",516
Schäfer Schmitz Klein,Schäfer,Schmitz,Klein,IJ8042619,EUR,Düsseldorf,Altonaer Straße,85,65933,Germany,1967 869868,schafer.klein@1und1.de,"{'city': 'Düsseldorf', 'street name': 'Altonaer Straße', 'street number': 85, 'postal code': '65933'}",8574
Viitanen Rissanen Mattila,Viitanen,Rissanen,Mattila,OM5699483,EUR,Lappeenranta,Kristinegatan,89,32655,Finland,+358 041 901 73 59,viitanen.mattila@elisa.fi,"{'city': 'Lappeenranta', 'street name': 'Kristinegatan', 'street number': 89, 'postal code': '32655'}",6628
Sofia Fischer,Sofia,,Fischer,AZ9179773,EUR,Hamburg,Neuer Markt,82,22145,Germany,1178 367256,sofia.fischer@o2online.de,"{'city': 'Hamburg', 'street name': 'Neuer Markt', 'street number': 82, 'postal code': '22145'}",2288
Alessia Martini,Alessia,,Martini,KN7804911,EUR,Rome,Via IV Novembre,87,95911,Italy,319 7673274,alessia.martini@aruba.it,"{'city': 'Rome', 'street name': 'Via IV Novembre', 'street number': 87, 'postal code': '95911'}",9660
Fabienne Benita Schulze,Fabienne,Benita,Schulze,XP1273310,EUR,Fürth,Schlossplatz,73,39673,Germany,+49 9922 670047,fabienne.schulze@versatel.de,"{'city': 'Fürth', 'street name': 'Schlossplatz', 'street number': 73, 'postal code': '39673'}",4943
Camilla Katrine Jespersen,Camilla,Katrine,Jespersen,US1231001,DKK,Ikast,Vigerslev Allé,7,5918,Denmark,+45 46 41 86 95,camilla.jespersen@telenor.dk,"{'city': 'Ikast', 'street name': 'Vigerslev Allé', 'street number': 7, 'postal code': '5918'}",5891
Graf Koller Brandstetter,Graf,Koller,Brandstetter,CT8053969,EUR,Amstetten,Landstraßer Hauptstraße,28,0170,Austria,+43 658 462 9948,graf.brandstetter@upc.at,"{'city': 'Amstetten', 'street name': 'Landstraßer Hauptstraße', 'street number': 28, 'postal code': '0170'}",2886
Floriane Alice Bertrand,Floriane,Alice,Bertrand,UV8075452,EUR,Toulon,Rue Soufflot,21,56972,France,+33 04 89 06 83 91,floriane.bertrand@icloud.com,"{'city': 'Toulon', 'street name': 'Rue Soufflot', 'street number': 21, 'postal code': '56972'}",3954
Ingrid Ève Thomas,Ingrid,Ève,Thomas,IK7606662,EUR,Saint-Denis,Boulevard Raspail,36,99960,France,+33 09 36 60 74 53,ingrid.thomas@bbox.fr,"{'city': 'Saint-Denis', 'street name': 'Boulevard Raspail', 'street number': 36, 'postal code': '99960'}",9452
Janssen Van Dijk,Janssen,,Van Dijk,RZ1162486,EUR,Delft,Van Baerlestraat,95,0003 03,Netherlands,06 34630608,janssen.vandijk@hetnet.nl,"{'city': 'Delft', 'street name': 'Van Baerlestraat', 'street number': 95, 'postal code': '0003 03'}",3168
Amanda Eva Laursen,Amanda,Eva,Laursen,HX9937800,DKK,Varde,Krimsvej,100,4309,Denmark,+45 77 00 91 55,amanda.laursen@icloud.com,"{'city': 'Varde', 'street name': 'Krimsvej', 'street number': 100, 'postal code': '4309'}",8580
Snijders Maassen Smeets,Snijders,Maassen,Smeets,XO6914838,DKK,Odense,Park Allé,100,7994,Denmark,12 34 11 92,snijders.smeets@wanadoo.dk,"{'city': 'Odense', 'street name': 'Park Allé', 'street number': 100, 'postal code': '7994'}",4729
Camille Alice Bonnet,Camille,Alice,Bonnet,KK8838176,EUR,Angers,Avenue de la Grande Armée,38,83703,France,+33 09 82 54 55 02,camille.bonnet@gmail.com,"{'city': 'Angers', 'street name': 'Avenue de la Grande Armée', 'street number': 38, 'postal code': '83703'}",186
Aurora Pihla Tiainen,Aurora,Pihla,Tiainen,ZX4831620,EUR,Imatra,Sinikalliontie,35,26763,Finland,+358 048 933 08 25,aurora.tiainen@hotmail.com,"{'city': 'Imatra', 'street name': 'Sinikalliontie', 'street number': 35, 'postal code': '26763'}",7990
Zbinden Keller,Zbinden,,Keller,QR8155672,CHF,Wil,Obere Hauptgasse,13,3525,Switzerland,+41 082 318 08 08,zbinden.keller@swissonline.ch,"{'city': 'Wil', 'street name': 'Obere Hauptgasse', 'street number': 13, 'postal code': '3525'}",9036
Simon Pierre Boucher,Simon,Pierre,Boucher,GN6173148,EUR,Nantes,Boulevard des Italiens,43,45665,France,+33 03 90 92 61 12,simon.boucher@neuf.fr,"{'city': 'Nantes', 'street name': 'Boulevard des Italiens', 'street number': 43, 'postal code': '45665'}",6842
Francesca Emma Lombardi,Francesca,Emma,Lombardi,GM6777262,EUR,Zwettl,Alpenstraße,30,6113,Austria,+43 339 124 5766,francesca.lombardi@aon.at,"{'city': 'Zwettl', 'street name': 'Alpenstraße', 'street number': 30, 'postal code': '6113'}",9204
Franziska Mia Hoffmann,Franziska,Mia,Hoffmann,PK0770350,EUR,Münster,Berliner Straße,65,88247,Germany,+49 6912 973687,franziska.hoffmann@1und1.de,"{'city': 'Münster', 'street name': 'Berliner Straße', 'street number': 65, 'postal code': '88247'}",1069
Hinterleitner Wagner Fuchs,Hinterleitner,Wagner,Fuchs,WS8138213,EUR,Kitzbühel,Obere Donaustraße,26,2915,Austria,048 491 1099,hinterleitner.fuchs@gmail.com,"{'city': 'Kitzbühel', 'street name': 'Obere Donaustraße', 'street number': 26, 'postal code': '2915'}",1855
Højgaard Jespersen,Højgaard,,Jespersen,WW1519836,DKK,Skanderborg,Krimsvej,30,1699,Denmark,++3372 12 16 40,hjgaard.jespersen@telia.dk,"{'city': 'Skanderborg', 'street name': 'Krimsvej', 'street number': 30, 'postal code': '1699'}",1435
Gabriella Claudia Lombardi,Gabriella,Claudia,Lombardi,FT9716742,EUR,Reggio Calabria,Via Dante,1,07921,Italy,+39 380 6471232,gabriella.lombardi@wind.it,"{'city': 'Reggio Calabria', 'street name': 'Via Dante', 'street number': 1, 'postal code': '07921'}",4147
Kaisa Heta Turunen,Kaisa,Heta,Turunen,XG7916040,EUR,Hämeenlinna,Karjalankatu,19,45256,Finland,+358 041 013 24 64,kaisa.turunen@luukku.com,"{'city': 'Hämeenlinna', 'street name': 'Karjalankatu', 'street number': 19, 'postal code': '45256'}",5095
Álvarez Martínez Herrera,Álvarez,Martínez,Herrera,SL2614813,EUR,,Calle de la Paz,28,12184,Spain,624 742 0576,alvarez.herrera@ono.es,"{'city': '', 'street name': 'Calle de la Paz', 'street number': 28, 'postal code': '12184'}",6610
Stevens De Jong,Stevens,,De Jong,DK8132364,EUR,Boxtel,Kinkerstraat,86,8953 51,Netherlands,06 28206222,stevens.dejong@planet.nl,"{'city': 'Boxtel', 'street name': 'Kinkerstraat', 'street number': 86, 'postal code': '8953 51'}",9658
Kägi Müller Burkart,Kägi,Müller,Burkart,KE8329335,CHF,Frauenfeld,Kornhausplatz,44,3070,Switzerland,+41 024 441 65 65,kagi.burkart@swissinfo.ch,"{'city': 'Frauenfeld', 'street name': 'Kornhausplatz', 'street number': 44, 'postal code': '3070'}",3362
Cayetana Clara Pérez,Cayetana,Clara,Pérez,LY0925864,EUR,Oviedo,Calle de la Reina Cristina,69,66604,Spain,++39 697 093 009,cayetana.perez@gmail.es,"{'city': 'Oviedo', 'street name': 'Calle de la Reina Cristina', 'street number': 69, 'postal code': '66604'}",6422
Nørregaard Christensen,Nørregaard,,Christensen,TR6201171,DKK,Fredericia, Åbenrå,40,1255,Denmark,+45 98 91 74 92,nrregaard.christensen@tiscali.dk,"{'city': 'Fredericia', 'street name': ' Åbenrå', 'street number': 40, 'postal code': '1255'}",2082
Eva Evelien Van den Berg,Eva,Evelien,Van den Berg,KH9780090,EUR,Amsterdam,Torenstraat,31,2118 65,Netherlands,06 65924876,eva.vandenberg@chello.nl,"{'city': 'Amsterdam', 'street name': 'Torenstraat', 'street number': 31, 'postal code': '2118 65'}",3150
Sophia Fiona Hinterleitner,Sophia,Fiona,Hinterleitner,RJ3530918,EUR,Tulln an der Donau,Gasometerstraße,90,5001,Austria,544 851 9044,sophia.hinterleitner@yahoo.com,"{'city': 'Tulln an der Donau', 'street name': 'Gasometerstraße', 'street number': 90, 'postal code': '5001'}",1607
Fernández González Muñoz,Fernández,González,Muñoz,ZJ3025032,EUR,Almería,Calle de la Victoria,95,17302,Spain,+34 608 321 716,fernandez.munoz@gmail.com,"{'city': 'Almería', 'street name': 'Calle de la Victoria', 'street number': 95, 'postal code': '17302'}",4375
Díaz Vázquez Gil,Díaz,Vázquez,Sánchez,DD6694445,EUR,Valencia,Plaza de la Trinidad,83,29962,Spain,+34 636 178 887,diaz.gil@icloud.com,"{'city': 'Valencia', 'street name': 'Plaza de la Trinidad', 'street number': 83, 'postal code': '29962'}",7194
Ferrari De Luca Donati,Ferrari,De Luca,Donati,EL8223958,EUR,Udine,Corso Cairoli,36,35454,Italy,+39 336 8710880,ferrari.donati@icloud.com,"{'city': 'Udine', 'street name': 'Corso Cairoli', 'street number': 36, 'postal code': '35454'}",6046
Laursen Jørgensen Olsen,Laursen,Jørgensen,Olsen,ME7770522,DKK,Odense,H.C. Andersens Boulevard,1,2705,Denmark,+45 16 80 06 54,laursen.olsen@tiscali.dk,"{'city': 'Odense', 'street name': 'H.C. Andersens Boulevard', 'street number': 1, 'postal code': '2705'}",9832
Johanna Iiris Mustonen,Johanna,Iiris,Mustonen,JD5706792,EUR,Turku,Fredrikinkatu,58,35943,Finland,046 672 56 855,johanna.mustonen@pp.inet.fi,"{'city': 'Turku', 'street name': 'Fredrikinkatu', 'street number': 58, 'postal code': '35943'}",3534
María Valeria Gómez,María,Valeria,Gómez,TC7049670,EUR,Cartagena,Turia Gardens,9,90501,Spain,635 301 191,maria.gomez@yahoo.com,"{'city': 'Cartagena', 'street name': 'Turia Gardens', 'street number': 9, 'postal code': '90501'}",982
Melanie Luisa Maier,Melanie,Luisa,Maier,RV1489512,EUR,Hallein,Erzherzog-Johann-Allee,15,0856,Austria,482 176 5931,melanie.maier@hotmail.com,"{'city': 'Hallein', 'street name': 'Erzherzog-Johann-Allee', 'street number': 15, 'postal code': '0856'}",1263
Capucine Ingrid Dubois,Capucine,Ingrid,Dubois,AE8944005,EUR,Strasbourg,Rue de la Butte-aux-Cailles,67,45144,France,01 39 95 24 67,capucine.dubois@bbox.fr,"{'city': 'Strasbourg', 'street name': 'Rue de la Butte-aux-Cailles', 'street number': 67, 'postal code': '45144'}",4711
Jessica Carolin Klein,Jessica,Carolin,Klein,VK7249959,EUR,Hanover,Kurfürstendamm,14,85481,Germany,3612 361275,jessica.klein@hotmail.com,"{'city': 'Hanover', 'street name': 'Kurfürstendamm', 'street number': 14, 'postal code': '85481'}",1051
Maier Wolf Schmidt,Maier,Wolf,Schmidt,JX1153588,EUR,Logroño,Plaza de España,69,87603,Spain,+34 613 764 940,maier.schmidt@hotmail.es,"{'city': 'Logroño', 'street name': 'Plaza de España', 'street number': 69, 'postal code': '87603'}",4523
