currency,address_city,country_of_domicile,birth_date,nationality,gender,marital_status,higher_education,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,aum_savings,aum_inheritance,aum_real_estate_value,inheritance_details_relationship,inheritance_details_profession,inheritance_details_inheritance year,Family Background,Education Background,Wealth Summary,Client Summary,country,label
EUR,Dresden,Germany,12/17/74,German,M,married,1,Low,Short,Expert,Advisory,"['Germany', 'Austria']",310000,5960000,1010000,grandmother,Stock Trader,2010,Uhlig Klein Fischer has been happily married to Lilli since 2009. They do not have any children.,"In 1994, Uhlig finished his secondary school education at Walther-Rathenau-Schule.
Uhlig attended Technical University of Berlin and graduated in 1999.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 310000 EUR.
He owns condo in Dresden, where he resides. It is worth 1010000 EUR.


Following the passing of his grandmother, a successful Stock Trader, he received an inheritance of 5960000 EUR in 2010, which he has used to secure his financial future.

","The RM knows the client very well and is a good friend of the entire family.
",Germany,1
EUR,Vigo,Spain,6/19/90,Spanish,M,married,1,High,Medium,Expert,Advisory,['Spain'],50000,160000,1701000,grandfather,Stock Trader,2015,Vázquez Álvarez Ortega and Anaís have been married since 2016. Their child is  named Cayetana.,"Vázquez earned his secondary school diploma from IES Salvador Espriu Barcelona in 2009.
Vázquez earned his degree from Polytechnic University of Valencia in 2013.
","While working, he saved 50000 EUR, which he used to build a diversified investment portfolio.
He has condo located in Vigo, worth 721000 EUR.

In addition to his primary residence, he owns condo in Cartagena worth 980000 EUR.


Following the passing of his grandfather, a successful Stock Trader, he received an inheritance of 160000 EUR in 2015, which he has used to secure his financial future.

","Based on the information provided, we are excited about the client's financial journey and look forward to supporting him in achieving his financial goals.
",Spain,0
EUR,Fürth,Germany,10/30/82,German,M,married,1,Moderate,Medium,Expert,Discretionary,"['Germany', 'Italy']",270000,700000,1080000,grandfather,Stock Trader,2014,Richter Fischer Krüger and Ida have been married since 2013. They do not have any children.,"Richter graduated from Augusta-Gymnasium Koblenz in 2002.
In 2005, Richter graduated from University of Hamburg with a degree.
He also pursued further higher education at SRH University Heidelberg, graduating in 2010.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 270000 EUR.
He has condo located in Fürth, worth 1080000 EUR.

In 2014, he received an inheritance of 700000 EUR from his late grandfather, who was a prominent Stock Trader, and has since invested it in various assets.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Germany,0
EUR,Helsinki,Finland,5/2/61,Finnish,M,married,1,Moderate,Short,Experienced,Discretionary,['Finland'],1730000,0,3742000,,,,"Piirainen Savolainen Mustonen and Kaisa have been married since 1994. Piirainen and Kaisa have 3 children, named Jenna, Salminen and Liisa.","Piirainen graduated from Kiteen lukio in 1980.
Piirainen completed his university studies at Kajaani University of Applied Sciences in 1986.
","While working, he saved 1730000 EUR, which he used to build a diversified investment portfolio.
He has invested in several rental properties across various locations, generating additional income. The properties are valued at 3742000 EUR.

He does not have any inheritances.","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome him as a new client.
",Finland,1
EUR,Kortrijk,Belgium,8/21/82,Belgian,M,married,1,Low,Medium,Expert,Discretionary,"['Germany', 'Belgium']",250000,2900000,1528000,mother,Hedge Fund Manager,2009,Roelandts Lemaire Peiren is married to Louise. Together they have 2 kids called  Jacobs and Charlotte.,"In 2001, Roelandts graduated from Institut des Ursulines with a secondary school diploma.
Roelandts graduated from KU Leuven in 2005, completing his higher education.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 250000 EUR.
He has flat located in Kortrijk, worth 598000 EUR.

In addition to his primary residence, he owns townhouse in Ieper worth 930000 EUR.

He inherited 2900000 EUR from his mother, a well-known Hedge Fund Manager, in 2009, allowing him to expand his investment portfolio.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Belgium,1
DKK,Næstved,Denmark,1/20/82,Italian,F,married,1,Considerable,Medium,Expert,Discretionary,"['Belgium', 'Denmark', 'Italy']",280000,5640000,3515000,grandmother,Venture Capitalist,2005,"Isabella Fabbri and Donati have been married since 2016. Together they have 3 kids called  Marino, Gabriella and Beatrice.","Isabella obtained her secondary school diploma from Scuola Superiore di Lingue e Letterature Straniere per Interpreti e Traduttori Milano in 2000.
Isabella completed her university education at University of Rome La Sapienza in 2006.
","While working, she saved 280000 DKK, which she used to build a diversified investment portfolio.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 3515000 DKK.

In 2005, she received an inheritance of 5640000 DKK from her late grandmother, who was a prominent Venture Capitalist, and has since invested it in various assets.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Italy,1
EUR,Tours,France,6/21/60,French,F,married,1,Low,Medium,Experienced,Discretionary,['France'],1360000,0,6080000,,,,"Emma Margaux Bonnet and Boucher tied the knot in 1996. They are proud parents of 3 children: Lambert, Ophélie and Margaux.","Emma completed her secondary education at Lycée La Martinière Monplaisir in 1978.
Emma received her degree from IUT de Grenoble in 1984.
","Throughout her career, she saved 1360000 EUR, investing in various assets to grow her wealth.
She has villa located in Tours, worth 3400000 EUR.

In addition to her primary residence, she owns villa in Le Mans worth 2680000 EUR.

She does not have any inheritances.","In conclusion, we are confident in the client's financial stability and future prospects.
",France,1
EUR,Heidelberg,Germany,4/14/90,German,F,widowed,1,Considerable,Long-Term,Expert,Discretionary,"['Germany', 'France']",90000,4160000,2540000,grandmother,Real Estate Developer,2020,Alina Imke Schwarz is currently widowed. She does not have any children.,"In 2010, Alina finished her secondary school education at Pestalozzi-Gymnasium Nürnberg.
Alina completed her university studies at University of Berlin in 2014.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 90000 EUR.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 2540000 EUR.


In addition to her career success, she also received an inheritance of 4160000 EUR from her late grandmother, a renowned Real Estate Developer, in 2020.
","In summary, Alina has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Germany,0
EUR,Haarlem,Netherlands,5/29/60,Danish,F,widowed,1,Considerable,Short,Experienced,Advisory,"['Denmark', 'Netherlands']",5790000,0,2620000,,,,Olivia Alma Hansen is currently widowed. Her child is named Hanne.,"Olivia finished secondary school at Nørre GYM in 1979.
In 1983, Olivia graduated from University College Capital with a degree.
","While working, she saved 5790000 EUR, which she used to build a diversified investment portfolio.
She owns villa in Haarlem, where she resides. It is worth 2620000 EUR.

She does not have any inheritances.","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Denmark,1
EUR,Segovia,Spain,2/8/03,Spanish,M,single,1,High,Medium,Inexperienced,Discretionary,['Spain'],0,1780000,0,grandmother,Hedge Fund Manager,2020,Díaz Hernández Gil is currently single. He does not have any children.,"Díaz graduated from IES María Zambrano Sevilla in 2022.
","He did not manage to save any money during his career.
Client does not have any properties.In 2020, he received an inheritance of 1780000 EUR from his late grandmother, who was a prominent Hedge Fund Manager, and has since invested it in various assets.
","The RM is looking forward to supporting the client in building a successful career and achieving financial stability.
",Spain,1
DKK,Gentofte,Denmark,4/14/56,Danish,M,widowed,1,Moderate,Medium,Experienced,Advisory,['Denmark'],9710000,0,6016000,,,,Højgaard Nørregaard Rasmussen is currently widowed. He has 1 kid called Gitte.,"Højgaard finished secondary school at Tønder Gymnasium in 1975.
Højgaard attended University College Capital and graduated in 1980.
","He managed to save approximately 9710000 DKK from his earnings at all companies.
He has invested in several rental properties across various locations, generating additional income. The properties are valued at 6016000 DKK.

He does not have any inheritances.","The RM is very happy to have Højgaard as a customer and is looking forward to a long and successful cooperation.
",Denmark,0
EUR,Bremen,Germany,4/6/89,German,F,single,1,Moderate,Medium,Inexperienced,Advisory,['Germany'],90000,2950000,2050000,grandmother,Neurosurgeon,2020,Sofia Gwendolyn Herrmann is currently single. She does not have any children.,"Sofia earned her secondary school diploma from Johann-Wolfgang-von-Goethe-Gymnasium Frankfurt in 2007.
Sofia received her degree from Weingarten University of Education in 2013.
She also pursued further higher education at Karlsruhe University of Education, graduating in 2017.
","She managed to save approximately 90000 EUR from her earnings at all companies.
She owns flat in Bremen, where she resides. It is worth 10000000 EUR.

She purchased flat in Berlin, where she spends her holidays. It is valued at 1268000 EUR.
In 2020, she received an inheritance of 2950000 EUR from her late grandmother, who was a prominent Neurosurgeon, and has since invested it in various assets.
","Based on the information provided, we are excited about the client's financial journey and look forward to supporting her in achieving her financial goals.
",Germany,0
EUR,Wels,Austria,9/20/63,Austrian,F,married,1,Moderate,Short,Expert,Advisory,"['Austria', 'Finland']",2170000,0,1814000,,,,Emma Lena Rieder is married to Bauer. Together they have 2 kids called Fischer and Anna.,"Emma received her secondary school diploma from BORG Graz Liebenau in 1981.
In 1986, Emma graduated from Danube Private University Krems with a degree.
","Throughout her career, she saved 2170000 EUR, investing in various assets to grow her wealth.
She owns 2 exceptional properties: flat located in Wels, valued at approximately 1,034,000.00 EUR, flat located in Salzburg, valued at approximately 780,000.00 EUR. This impressive collection showcases her flair for luxury living and investment prowess, with a notable presence in Salzburg and Wels.
She does not have any inheritances.","Given the client's impressive career history and financial discipline, we are confident in her ability to achieve financial success and security.
",Austria,1
EUR,Lappeenranta,Finland,4/13/02,Finnish,M,single,1,Considerable,Medium,Inexperienced,Advisory,"['Finland', 'Netherlands']",0,2480000,0,grandmother,Investment Banker,2018,Laine Ahonen Tiainen is currently single. He does not have any children.,"Laine earned his secondary school diploma from Meilahden Yläaste ja Lukio in 2022.
","He did not save any money from his earnings.
Client does not have any properties.
Following the passing of his grandmother, a successful Investment Banker, he received an inheritance of 2480000 EUR in 2018, which he has used to secure his financial future.

","The RM is looking forward to supporting the client in building a successful career and achieving financial stability.
",Finland,1
EUR,Lokeren,Belgium,7/29/58,Belgian,F,widowed,1,Low,Short,Experienced,Discretionary,['Belgium'],900000,0,930000,,,,Élodie Sanders is currently widowed. She has 1 kid called Adèle.,"Élodie received her secondary school diploma from Institut Notre-Dame de la Paix in 1978.
Élodie pursued higher education at University of Antwerp, graduating in 1981.
","While working, she saved 900000 EUR, which she used to build a diversified investment portfolio.
She has condo located in Lokeren, worth 930000 EUR.

She does not have any inheritances.","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Belgium,0
EUR,Gmunden,Austria,6/20/96,Austrian,M,single,1,Considerable,Medium,Inexperienced,Discretionary,"['Austria', 'Denmark']",20000,1360000,0,grandmother,Oil and Gas Executive,2015,Schnell Bauer Brandstetter is currently single. He does not have any children.,"Schnell finished secondary school at BORG Graz Liebenau in 2016.
Schnell completed his university studies at Modul University Vienna in 2020.
","He managed to save approximately 20000 EUR from his earnings at all companies.
Client does not have any properties.
In addition to his career success, he also received an inheritance of 1360000 EUR from his late grandmother, a renowned Oil and Gas Executive, in 2015.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome him as a new client.
",Austria,1
EUR,Grenoble,France,2/15/59,French,M,married,1,Low,Short,Experienced,Advisory,['France'],1070000,0,5610000,,,,Bernard Richard Marchand has been happily married to Chloé since 1990. Together they have 1 kid called Inès.,"Bernard graduated from Lycée Paul Valéry in 1977.
Bernard completed his university education at École Normale Supérieure (ENS) Paris in 1981.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 1070000 EUR.
He has townhouse located in Grenoble, worth 1940000 EUR.

In addition to his primary residence, he owns townhouse in Rouen worth 1690000 EUR.

On top of that he inherited a beautiful townhouse in Dijon, which could be used as a weekend getaway. It is valued at 1980000 EUR.
He does not have any inheritances.","The RM knows the client very well and is a good friend of the entire family.
",France,1
EUR,Essen,Germany,6/18/69,German,F,married,1,Low,Medium,Expert,Discretionary,['Germany'],1160000,920000,2910000,mother,Real Estate Developer,2014,Hedwig Imke Schulze is married to Wagner. They are proud parents of 2 children: Emma and Scholz.,"In 1989, Hedwig graduated from Melanchthon-Gymnasium Nürnberg with a secondary school diploma.
Hedwig pursued higher education at University of Hamburg, graduating in 1993.
","She managed to save approximately 1160000 EUR from her earnings at all companies.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 2910000 EUR.

She inherited 920000 EUR from her mother, a well-known Real Estate Developer, in 2014, allowing her to expand her investment portfolio.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Germany,1
DKK,Køge,Denmark,10/6/74,Danish,M,single,1,Moderate,Medium,Experienced,Execution-Only,"['Spain', 'Denmark']",3170000,14550000,3630000,father,Stock Trader,2008,Pedersen Petersen Larsen is currently single. He does not have any children.,"Pedersen graduated from Viborg Katedralskole in 1994.
Pedersen received his degree from University College Lillebælt in 1987.
","He managed to save approximately 3170000 DKK from his earnings at all companies.
His remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Varde, Kolding and Køge, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
In 2008, he received an inheritance of 14550000 DKK from his late father, who was a prominent Stock Trader, and has since invested it in various assets.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Denmark,0
EUR,Vigo,Spain,3/10/78,Spanish,M,married,1,Moderate,Medium,Experienced,Advisory,"['France', 'Spain']",290000,4800000,1890000,grandmother,Venture Capitalist,2007,Ramos Gómez Martín is currently single. He does not have any children.,"Ramos completed his secondary education at IES Ginés Martínez de Aranda Albacete in 1995.
After that, he went on to study at University of the Basque Country until 2002.
","While working, he saved 290000 EUR, which he used to build a diversified investment portfolio.
His remarkable portfolio comprises 2 stunning properties. Situated in prime locations across Vigo and Seville, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
In 2007, he received an inheritance of 4800000 EUR from his late grandmother, who was a prominent Venture Capitalist, and has since invested it in various assets.
","The RM is very happy to have Ramos as a customer and is looking forward to a long and successful cooperation.
",Spain,0
EUR,Tilburg,Netherlands,2/18/66,Dutch,F,widowed,1,Moderate,Medium,Experienced,Discretionary,['Netherlands'],770000,180000,5472000,grandmother,Corporate Lawyer,2012,"Janneke Anouk Peeters is currently widowed. She has 3 kids called Willems, Brinkman and Snijders.","Janneke obtained her secondary school diploma from Westfriesgymnasium Hoorn in 1985.
She then attended Tilburg School of Economics and Management, which she graduated in 1989.
On top of that she then attended Webster University Leiden, where she graduated in 1994.
","While working, she saved 770000 EUR, which she used to build a diversified investment portfolio.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 5472000 EUR.


Following the passing of her grandmother, a successful Corporate Lawyer, she received an inheritance of 180000 EUR in 2012, which she has used to secure her financial future.

","Based on the information provided, we are excited about the client's financial journey and look forward to supporting her in achieving her financial goals.
",Netherlands,1
EUR,Las Palmas de Gran Canaria,Spain,12/12/87,Spanish,F,married,1,Low,Medium,Experienced,Discretionary,['Spain'],100000,4890000,2200000,grandmother,Venture Capitalist,2017,Estefanía Antonia Muñoz and Navarro tied the knot in 2023. They are proud parents of 1 child: Angela.,"Estefanía received her degree from Navarra University in 2011.
She pursued addtionally further eduaction by attending University of Barcelona and graduating in 2015.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 100000 EUR.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 2200000 EUR.

In 2017, she received an inheritance of 4890000 EUR from her late grandmother, who was a prominent Venture Capitalist, and has since invested it in various assets.
","Based on the information provided, we are excited about the client's financial journey and look forward to supporting her in achieving her financial goals.
",Spain,0
CHF,Wil,Switzerland,1/17/95,Swiss,M,single,1,High,Medium,Experienced,Advisory,"['Switzerland', 'Italy']",60000,4580000,2380000,grandmother,Real Estate Developer,2015,Gmür Meier Kammermann is currently single. He does not have any children.,"Gmür obtained his secondary school diploma from Gymnasium Leonhard Winterthur in 2014.
Gmür attended University of Bern and graduated in 2018.
","He managed to save approximately 60000 CHF from his earnings at all companies.
He owns flat in Wil, where he resides. It is worth 2380000 CHF.


In addition to his career success, he also received an inheritance of 4580000 CHF from his late grandmother, a renowned Real Estate Developer, in 2015.
","Given the client's impressive career history and financial discipline, we are confident in his ability to achieve financial success and security.
",Switzerland,1
EUR,Logroño,Spain,4/23/64,Spanish,M,single,1,Balanced,Short,Expert,Discretionary,"['Germany', 'Spain']",460000,120000,3212000,mother,Oil and Gas Executive,2011,Torres Gómez Herrera is currently single. He does not have any children.,"Torres earned his secondary school diploma from IES Miguel Hernández Alicante in 1983.
Torres earned his degree from University of Valencia in 1987.
","Throughout his career, he saved 460000 EUR, investing in various assets to grow his wealth.
His remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Castellón de la Plana, Logroño and Santa Cruz de Tenerife, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.

Following the passing of his mother, a successful Oil and Gas Executive, he received an inheritance of 120000 EUR in 2011, which he has used to secure his financial future.

","In conclusion, we are confident in the client's financial stability and future prospects.
",Spain,0
EUR,Groningen,Netherlands,11/17/59,Dutch,M,divorced,1,Moderate,Short,Experienced,Discretionary,['Netherlands'],2570000,0,2690000,,,,Janssen Stam Brinkman is currently divorced. He does not have any children.,"Janssen earned his secondary school diploma from Gerardus Majellalynceum Amsterdam in 1977.
He then attended Erasmus University Rotterdam, which he graduated in 1983.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 2570000 EUR.
He owns villa in Groningen, where he resides. It is worth 2690000 EUR.

He does not have any inheritances.","The RM knows the client very well and is a good friend of the entire family.
",Netherlands,1
EUR,Herstal,Belgium,7/31/61,Belgian,M,married,1,Moderate,Short,Experienced,Discretionary,['Belgium'],850000,0,890000,,,,Van den Berghe Dumont Lecomte and Manon have been married since 1995. They are proud parents of 1 child: Goossens.,"Van den Berghe finished secondary school at Sint-Bavohumaniora in 1980.
Van den Berghe received his degree from PXL University of Applied Sciences and Arts in 1985.
","While working, he saved 850000 EUR, which he used to build a diversified investment portfolio.
He owns flat in Herstal, where he resides. It is worth 890000 EUR.

He does not have any inheritances.","In conclusion, we are confident in the client's financial stability and future prospects.
",Belgium,1
EUR,Ried im Innkreis,Austria,11/15/92,Austrian,M,married,1,Moderate,Long-Term,Experienced,Discretionary,"['Austria', 'Denmark']",60000,590000,2840000,grandfather,Corporate Lawyer,2016,"Mayr Weber Maier and Renate tied the knot in 2023. Mayr and Renate have 1 child, named Schwarz.","In 2012, Mayr graduated from Bundesrealgymnasium Salzburg with a secondary school diploma.
Mayr finished his studies at Salzburg University of Applied Sciences in 2015.
","He managed to save approximately 60000 EUR from his earnings at all companies.
His remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Ried im Innkreis, Villach and Bruck an der Mur, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
He inherited 590000 EUR from his grandfather, a well-known Corporate Lawyer, in 2016, allowing him to expand his investment portfolio.
","The RM knows the client very well and is a good friend of the entire family.
",Austria,1
EUR,Venice,Italy,10/18/88,Italian,M,divorced,1,Low,Medium,Experienced,Advisory,"['Spain', 'Italy']",60000,730000,2630000,grandmother,Hedge Fund Manager,2020,Moretti Fabbri Ricci is currently divorced. He does not have any children.,"In 2006, Moretti finished his secondary school education at Liceo Scientifico Leonardo da Vinci Milano.
Moretti graduated from Normal Superior School of Pisa in 2012, completing his higher education.
","Throughout his career, he saved 60000 EUR, investing in various assets to grow his wealth.
He has villa located in Venice, worth 2630000 EUR.

He inherited a significant sum of 730000 EUR from his grandmother, a respected Hedge Fund Manager, in 2020, which he has wisely invested.
","The RM knows the client very well and is a good friend of the entire family.
",Italy,0
EUR,Dijon,France,6/27/03,French,F,single,1,Moderate,Medium,Inexperienced,Discretionary,['France'],0,1010000,0,grandmother,Oil and Gas Executive,2017,Emma Ophélie Dubois is currently single. She does not have any children.,"Emma graduated from Lycée Buffon in 2022.
","She did not have any savings to invest in financial markets.
Client does not have any properties.She inherited a significant sum of 1010000 EUR from her grandmother, a respected Oil and Gas Executive, in 2017, which she has wisely invested.
","The RM is committed to helping Emma achieve financial success and security as she embarks on her professional journey.
",France,0
EUR,Oviedo,Spain,5/2/67,Spanish,M,divorced,1,Moderate,Short,Experienced,Advisory,"['France', 'Spain']",1070000,1230000,4370000,mother,,,Gil Ramos López is currently divorced. He has 2 kids called Marta and Antonia.,"Gil obtained his secondary school diploma from IES Félix Rodríguez de la Fuente Oviedo in 1987.
Gil attended Polytechnic University of Madrid and graduated in 1990.
He pursued addtionally further eduaction by attending University of Barcelona and graduating in 1996.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 1070000 EUR.
He owns house in Oviedo, where he resides. It is worth 1690000 EUR.

In addition to his primary residence, he owns villa in Toledo worth 2040000 EUR.

On top of that he inherited a beautiful flat in Teruel, which could be used as a weekend getaway. It is valued at 640000 EUR.
In 2005, he received an inheritance of 1230000 EUR from his late mother, who was a prominent Neurosurgeon, and has since invested it in various assets.
","Given the client's impressive career history and financial discipline, we are confident in his ability to achieve financial success and security.
",Spain,0
